MAPID,YEAR_CREATED,NAME,MERGED_ADDRESS,LATITUDE,LONGITUDE,NUMBER_OF_PLOTS,NUMBER_OF_FOOD_TREES,NOTES,FOOD_TREE_VARIETIES,JURISDICTION
FA126,1978,Sparwood Park,"6998  Arlington St, Vancouver BC",49.220271,-123.0293224,0,17,,"Crabapple, hazelnut",Park Board
FA133,1985,Strathcona Community Garden,"857  Malkin Av, Vancouver BC",49.2739359,-123.083385,200,104,,"Bramley's seedling apple; cannor select; cortland; golden delicious smoothee; jonafree; nova mac; shamrock; flemish beauty; hosui; golden spice (hardy); ure pear (hardy); italian plum; pembina plum (hardy); redglow plum (hardy); compact stella cherry; lapin cherry; schatten morello cherry; van cherry; conference dwarf pear; flemish beauty dwarf pear; highland dwarf pear; red sensation dwarf pear; sierra dwarf pear; persimmon fuju and more, Satsuma Plum, Jonamac Apple, Shamrock Apple, Northern Spy Apple, Meteor cherry",Park Board
FA057,1986,Fraser River Park,"8705  Angus Drive, Vancouver BC",49.2082762,-123.1518406,0,36,,Native Crabapple,Park Board
FA085,1986,Kitsilano Community Garden,"2027 W 6th Av, Vancouver BC",49.2664025,-123.1504383,55,15,,"Apple (2), Pear (2), Cheery (2), Plum (4), Apricot (1), Hazelnut (1), Fig (1), Apple/Pear (2)",Park Board
FA121,1988,Sahalli  Community Garden,"2398  Fraser St, Vancouver BC",49.2636848,-123.0885931,54,,,,Park Board
FA129,1990,SPEC Vancouver Compost Demonstration Garden,"2150  Maple St, Vancouver BC",49.2666383,-123.1503918,0,,,,City
FA041,1992,Cottonwood Community Garden,"857  Malkin Av, Vancouver BC",49.2739359,-123.083385,139,26,Expansion in 2010 - 50 beds with improved accessibility,"Apple, cherry, plum, fig, Asian pear, hazelnut, Saskatoon, Satsuma Plum, Pacific Crabapple, Heritage Apples",City and Park Board
FA052,1996,Elisabeth Rogers Community Garden,"110 W 7th  Av, Vancouver BC",49.2643344,-123.108185,56,12,,"Fuji (red sport), Jonagold, Nova Mac, Italian plum, Damson plum, Dwarf Comice pear, Dwarf Red Sensation pear, dwarf Sierra Pear",Park Board
FA093,1996,Maple Community Garden,"1900 W 6th Av, Vancouver BC",49.2663131,-123.148045,44,,,,City
FA098,1996,McSpadden Park Community Garden,"2125  Victoria  Drive, Vancouver BC",49.2662778,-123.0666293,18,,,,Park Board
FA117,1996,Robson Park Community Garden,"565  Kingsway , Vancouver BC",49.2575685,-123.0923312,44,,,,Park Board
FA147,1999,Wall Street Community Garden,"2099  Wall St, Vancouver BC",49.2861084,-123.0623055,42,,,,Park Board
FA135,2002,Tea Swamp Community Garden,"255 E 16th Av, Vancouver BC",49.2568294,-123.0993208,20,4,,"2 apple, 2 fig, raspberry canes, blueberry, grape",Park Board
FA104,2003,Mole Hill,"1173  Pendrell St, Vancouver BC",49.2824171,-123.1316422,70,1,,Italian Prune Plum,Private
FA131,2003,Stanley Park Community Garden,"975  Lagoon  Drive, Vancouver BC",49.2935851,-123.1393054,32,,,,Park Board
FA122,2005,Slocan Park,"2750 E 29th Av, Vancouver BC",49.2436639,-123.048196,0,6,,"Apple, pear, persimmon, walnut, ",Park Board
FA031,2006,China Creek North Park,"1001 E 7th Av, Vancouver BC",49.2611153,-123.07798,0,38,,"Apple, cherry, pear, plum",Park Board
FA039,2006,Collingwood Community Gardens,"3100  Vanness Av, Vancouver BC",49.2418609,-123.0406868,30,,,,Translink
FA047,2006,Douglas Park,"801 W 22nd Av, Vancouver BC",49.2516505,-123.1222139,0,13,,"Pear, apple, plum, cherry",Park Board
FA075,2006,Jacob's Well #1,"449 E Hastings St, Vancouver BC",49.2813078,-123.0942905,120,,,,Private
FA076,2006,Jacob's Well #2,"460 E Hastings St, Vancouver BC",49.2811953,-123.0940499,120,,,,Private
FA099,2006,Means of Production Garden,"1001 E 7th Av, Vancouver BC",49.2652991,-123.084993,20,25,,"Mix of cherry, plum, apple",City and Park Board
FA103,2006,MOBY,"1737 E 11th Av, Vancouver BC",49.2604731,-123.0688879,45,,,,City and Translink
FA113,2006,Pine St. Community Garden,"1605 W 6th Av, Vancouver BC",49.266421,-123.1413634,40,,,,City
FA127,2006,SPEC Cambie Communal Garden,"2615  Cambie  St, Vancouver BC",49.2615932,-123.1155183,17,,,,City
FA004,2007,1755 West 14th - Private apartment building garden,"1755 W 14th Av, Vancouver BC",49.2590496,-123.1448703,,,,,Private
FA037,2007,Clark & Broadway Community Garden (formerly La Cosecha),"1290 E Broadway , Vancouver BC",49.262084,-123.077841,56,1,,Plum,City
FA060,2007,Frog Hollow Neighbourhood House Garden 1,"2703 E 1st  Av, Vancouver BC",49.2698011,-123.0493039,5,,,,Other
FA061,2007,Frog Hollow Neighbourhood House Garden 2,"2131  Renfrew  St, Vancouver BC",49.2654085,-123.044393,5,,,,Other
FA077,2007,Jewish Family Services (JFSA),"7249  Cypress St, Vancouver BC",49.220092,-123.150444,46,,,,City
FA112,2007,Pine  St. Community Orchard,"1708 W 6th Av, Vancouver BC",49.2662399,-123.1435022,47,,,,City
FA143,2007,Urban Acres,"1601 W 1st  Av, Vancouver BC",49.270591,-123.1410769,30,,,,Private
FA003,2008,16 Oaks,"1018 W 16th Av, Vancouver BC",49.2567482,-123.1276645,55,,,,Private
FA019,2008,Cedar Cottage Garden,"2021  Stainsbury  Av, Vancouver BC",49.251444,-123.0642552,61,13,,"EARLY MCINTOSH; GOLDEN DELICIOUS SMOOTHEE APPLE; SHAMROCK APPLE; CRIMSON PASSION CHERRY; RAINIER CHERRY; SKEENA CHERRY; DAMSON PLUM; ITALIAN PLUM; REDGLOW PLUM - HARDY; PERSIMMON, plums, fig, pear",Translink
FA029,2008,China Creek Community Garden,"1255 E 10th Av, Vancouver BC",49.2633118,-123.0787175,23,3,,"2 apple, 1 plum, and raspberry bushes",Park Board
FA036,2008,Cityview Baptist Church,"4370  Sophia  St, Vancouver BC",49.2459664,-123.099148,6,1,,Heritage apple,Private
FA072,2008,Hastings St Folk Garden,"117 E Hastings St, Vancouver BC",49.2814414,-123.1015964,150,,,,Private
FA083,2008,Kitsilano Christian Community Church,"1708 W 16th Av, Vancouver BC",49.2570894,-123.1437758,7,,,,Private
FA086,2008,Kitsilano Neighbourhood House,"3683 W 4th Av, Vancouver BC",49.2686566,-123.1852422,5,,,,Private
FA106,2008,Nelson Park Community Garden,"1020  Bute St, Vancouver BC",49.2835545,-123.1306453,38,Y,Expansion in 2014 - 35 beds including accessible ones,,Park Board
FA107,2008,New Brighton Park,"3201  New Brighton Road, Vancouver BC",49.288757,-123.0361825,0,50,,"Apple, pear, cherry",Park Board
FA123,2008,South Vancouver Family Place 1,"7710  Nanaimo St, Vancouver BC",49.2143436,-123.0593383,8,,,,Private
FA125,2008,South Vancouver Youth Centre Day Program,"4866  Fraser St, Vancouver BC",49.2406636,-123.0902841,3,,,,Other
FA139,2008,The Rise on Cambie,"485 W 8th Av, Vancouver BC",49.2640067,-123.1144868,18,,,,Private
FA020,2009,Cedar Cottage Garden - Part 2,"2019  Stainsbury  Av, Vancouver BC",49.2512645,-123.0644448,46,,,,City
FA026,2009,Chester's Field Garden,"5333  Chester  St, Vancouver BC",49.236648,-123.0896066,10,3,,anjou dwarf pear; conference dwarf pear,City
FA028,2009,Chimo Terrace Youth Garden,"2050  Wall St, Vancouver BC",49.2854905,-123.062203,5,,,,City
FA035,2009,City Hall Lawn Garden,"453 W 12th Av, Vancouver BC",49.2613159,-123.1139357,36,6,,Apple,City
FA043,2009,CROWSpoint Community Garden,"2299 E 24th Av, Vancouver BC",49.2488724,-123.0579937,30,,,,City
FA045,2009,Davie Village Garden,"1157  Burrard  St, Vancouver BC",49.2795117,-123.1293018,100,,,,Private
FA062,2009,Garden of Eatin',"2670  Victoria Drive, Vancouver BC",49.2606376,-123.0658918,20,,,,Private
FA087,2009,Kiwassa Neighbourhood House Community Garden,"2425  Oxford St, Vancouver BC",49.2857204,-123.05605,11,,,,Other
